word,form,sentence,paraphrase
кринж,кринжовую,Моя подруга рассказала кринжовую историю.,Моя подруга рассказала стыдную историю.
кринж,кринж,Я словил кринж после этого ролика.,Я испытал стыд после этого ролика.
кринж,кринж,Ситуация полный кринж.,Ситуация полный стыд.
лук,"лук, маркетинга","Эта девушка предложила снять новый лук с новой линией белья, и по какой-то причине руководство отдела маркетинга было не против доверить работу неизвестному фотографу.","Эта девушка предложила снять новый образ с новой линией белья, и по какой-то причине руководство отдела продаж было не против доверить работу неизвестному фотографу."
маркетинг,"лук, маркетинга","Эта девушка предложила снять новый лук с новой линией белья, и по какой-то причине руководство отдела маркетинга было не против доверить работу неизвестному фотографу.","Эта девушка предложила снять новый образ с новой линией белья, и по какой-то причине руководство отдела продаж было не против доверить работу неизвестному фотографу."
лукбук,лукбуке,"""Розница предусмотрена для тех, у кого нет времени заказывать одежду, осуществлять промежуточные примерки, но им нравится коллекция, представленная в лукбуке, и они готовы приобрести ее в розницу"", комментирует Екатерина Коченова.","""Розница предусмотрена для тех, у кого нет времени заказывать одежду, осуществлять промежуточные примерки, но им нравится коллекция, представленная в каталоге фотографий, и они готовы приобрести ее в розницу"", комментирует Екатерина Коченова."
аутфит,аутфит,"Ее модный аутфит был продуман до мелочей, поэтому вкус девушки сомнений не вызывал.","Ее модный образ был продуман до мелочей, поэтому вкус девушки сомнений не вызывал."
чекать,чекну,"Кинь ссылку, чекну, вдруг знаю его.","Кинь ссылку, проверю, вдруг знаю его."
чекать,чекни,"Если ты не до конца уверен в этой инфе, лучше чекни ее.","Если ты не до конца уверен в этой инфе, лучше проверь ее."
чекать,"чекни, айтишника","Вован, чекни нашего нового айтишника, какой-то он мутный.","Вован, проверь нашего нового программиста, какой-то он мутный."
айтишник,"чекни, айтишника","Вован, чекни нашего нового айтишника, какой-то он мутный.","Вован, проверь нашего нового программиста, какой-то он мутный."
хайп,хайп,Вокруг этой темы подняли ужасный хайп.,Вокруг этой темы подняли ужасный шумиху.
хайп,хайп,"Когда хайп, связанный с этой фамилией утихнет, ее забудут.","Когда шумиха, связанная с этой фамилией утихнет, ее забудут."
хайп,хайп,Этот человек постоянно ловит хайп.,Этот человек постоянно поднимает шум вокруг.
хайп,хайпить,"Если они не перестанут хайпить, от них отпишутся все подписчики.","Если они не перестанут поднимать шумиху, от них отпишутся все подписчики."
хайп,"хайп, хайпом","А можно поднять немыслимый хайп вокруг какой-нибудь нелепой административки как было с задержанием мальчишки на Арбате.Те, кто за хайпом не следит, пожимают плечами - Лена Шейдлина?","А можно поднять немыслимую шумиху вокруг какой-нибудь нелепой административки как было с задержанием мальчишки на Арбате.Те, кто за шумихой не следит, пожимают плечами - Лена Шейдлина?"
хайп,"хайп, хайпом","А можно поднять немыслимый хайп вокруг какой-нибудь нелепой административки как было с задержанием мальчишки на Арбате.Те, кто за хайпом не следит, пожимают плечами - Лена Шейдлина?","А можно поднять немыслимую шумиху вокруг какой-нибудь нелепой административки как было с задержанием мальчишки на Арбате.Те, кто за шумихой не следит, пожимают плечами - Лена Шейдлина?"
хайп,"хайп, баттл","Слушай русский рэп, а то отстанешь от мира и станешь непригодным; не ври подросткам, в том числе в рекламе; хайп сложно купить; кончай вести себя как старик и посмотри наконец баттл целиком.","Слушай русский рэп, а то отстанешь от мира и станешь непригодным; не ври подросткам, в том числе в рекламе; популярность сложно купить; кончай вести себя как старик и посмотри наконец состязание целиком."
баттл,"хайп, баттл","Слушай русский рэп, а то отстанешь от мира и станешь непригодным; не ври подросткам, в том числе в рекламе; хайп сложно купить; кончай вести себя как старик и посмотри наконец баттл целиком.","Слушай русский рэп, а то отстанешь от мира и станешь непригодным; не ври подросткам, в том числе в рекламе; популярность сложно купить; кончай вести себя как старик и посмотри наконец состязание целиком."
лайфхак,лайфхаков,Для продуктивной и ритмичной работы стоит беречь внимание и эмоциональную энергию – здесь приведём несколько лайфхаков для этого.,Для продуктивной и ритмичной работы стоит беречь внимание и эмоциональную энергию – здесь приведём несколько хитростей для этого.
лайфхак,лайфхаками,"Делюсь только личными наблюдениями и лайфхаками, которые накопились за время использования системы.","Делюсь только личными наблюдениями и хитростями, которые накопились за время использования системы."
лайфхак,лайфхаком,Еще поделюсь маленьким лайфхаком: не бойтесь экспериментировать с автоматическими сценариями.,Еще поделюсь маленькой хитростью: не бойтесь экспериментировать с автоматическими сценариями.
лайфхак,лайфхак,Маленький лайфхак: я специально не крепил кнопки к поверхностям скотчем или винтами.,Маленькая хитрость: я специально не крепил кнопки к поверхностям скотчем или винтами.
лайфхак,лайфхак,Еще лайфхак: все же постарайтесь спланировать размещение устройств умного дома заранее.,Еще уловка: все же постарайтесь спланировать размещение устройств умного дома заранее.
фейк,"фейк, троллинг","По-моему, это какой-то фейк или троллинг.","По-моему, это какой-то обман или шутка."
троллинг,"фейк, троллинг","По-моему, это какой-то фейк или троллинг.","По-моему, это какой-то обман или шутка."
фейк,фейк,"Недавно передали, что на окружной дороге из рюкзака мотоциклиста разлетелось по ветру несколько миллионов, фейк из той же серии дразнилок, типа езжайте, собирайте, да поторопитесь, пока другие не собрали.","Недавно передали, что на окружной дороге из рюкзака мотоциклиста разлетелось по ветру несколько миллионов, обман из той же серии дразнилок, типа езжайте, собирайте, да поторопитесь, пока другие не собрали."
фейк,фейков,"Недопонимая, а то и вовсе не улавливая политические хитросплетения, не умея отличить их суть и смысл от взбитой вокруг пены, от сетевого мусора, даже от банальных фейков, Вера неожиданно легко, без колебаний определилась с симпатиями и антипатиями.","Недопонимая, а то и вовсе не улавливая политические хитросплетения, не умея отличить их суть и смысл от взбитой вокруг пены, от сетевого мусора, даже от банальных фальшивок, Вера неожиданно легко, без колебаний определилась с симпатиями и антипатиями."
фейк,"фейки, хайли лайкли","Ну перестань, снова одернет меня кто-то, разве фейки, манипуляции и прочие ""хайли лайкли"" оружие только российской пропаганды?","Ну перестань, снова одернет меня кто-то, разве обман, манипуляции и прочие ""очень похоже"" оружие только российской пропаганды?"
хайли лайкли,"фейки, хайли лайкли","Ну перестань, снова одернет меня кто-то, разве фейки, манипуляции и прочие ""хайли лайкли"" оружие только российской пропаганды?","Ну перестань, снова одернет меня кто-то, разве обман, манипуляции и прочие ""очень похоже"" оружие только российской пропаганды?"
фейк,фейк,"Информация распространяется, и не важно, фейк или истинная правда.","Информация распространяется, и не важно, обман или истинная правда."
фейк,Фейки,"Фейки умирают, истина и идеи остаются, как ни крути.","Обман умирает, истина и идеи остаются, как ни крути."
фейк,"фейковые, аккаунтов","Для публикации комментариев с целью воздействия на общественное мнение чаще всего используются фейковые страницы, которые не всегда можно отличить от аккаунтов реальных людей.","Для публикации комментариев с целью воздействия на общественное мнение чаще всего используются поддельные страницы, которые не всегда можно отличить от учетных записей реальных людей."
аккаунт,"фейковые, аккаунтов","Для публикации комментариев с целью воздействия на общественное мнение чаще всего используются фейковые страницы, которые не всегда можно отличить от аккаунтов реальных людей.","Для публикации комментариев с целью воздействия на общественное мнение чаще всего используются поддельные страницы, которые не всегда можно отличить от учетных записей реальных людей."
изи,изи,"Да это изи будет, мы быстро что-нибудь накидаем и оно точно сработает.","Да это легко будет, мы быстро что-нибудь накидаем и оно точно сработает."
изи,Изи,"""Сможешь решить эту задачу за полчаса – Изи!""","""Сможешь решить эту задачу за полчаса – легко!"""
супер,супер гуд,"Идея, конечно, супер гуд, но не думаю, что сработает.","Идея, конечно, очень хорошая, но не думаю, что сработает."
гуд,супер гуд,"Идея, конечно, супер гуд, но не думаю, что сработает.","Идея, конечно, очень хорошая, но не думаю, что сработает."
гуд,Гуд,"Гуд, договорились, завтра встречаемся в 6 у метро.","Хорошо, договорились, завтра встречаемся в 6 у метро."
найс,найс,"""О найс!"".","""О отлично!""."
найс,найс,"А знаешь, ты второй египтянин, которого я встретила в своей жизни, найс!""","А знаешь, ты второй египтянин, которого я встретила в своей жизни, отлично!"""
мастхэв,маст хэв,"""Маша, бери, не сомневайся, белая футболка и светлый кардиган – это маст хэв для девушки на все времена!""","""Маша, бери, не сомневайся, белая футболка и светлый кардиган – это необходимость для девушки на все времена!"""
кульно,кульно,Как кульно вертеть телефон вокруг пальца.,Как круто вертеть телефон вокруг пальца.
кульно,кульно,Очень кульно погуляли вчера с ребятами.,Очень круто погуляли вчера с ребятами.
кул,кул,"Это для работы кул комп, особенно за такую цену.","Это для работы хороший комп, особенно за такую цену."
чилл-аут,чилл-аута,"Кто-то выбирает посиделки у круглого бара, кто-то танцует в главном помещении, а кто-то скрывается в недрах отдельного чилл-аута, где можно поваляться на диванчиках, расслабиться и посмотреть стриптиз.","Кто-то выбирает посиделки у круглого бара, кто-то танцует в главном помещении, а кто-то скрывается в недрах отдельного зала для отдыха, где можно поваляться на диванчиках, расслабиться и посмотреть стриптиз."
чилл-аут,"Чилл-аут, эмбиенту","Чилл-аут, девичий по атмосфере, цвету, свету, вкусу и гуттаперчевому эмбиенту из-за вертушек.","Зал для отдыха, девичий по атмосфере, цвету, свету, вкусу и гуттаперчевой электронной музыки из-за вертушек."
эмбиент,"Чилл-аут, эмбиенту","Чилл-аут, девичий по атмосфере, цвету, свету, вкусу и гуттаперчевому эмбиенту из-за вертушек.","Зал для отдыха, девичий по атмосфере, цвету, свету, вкусу и гуттаперчевой электронной музыки из-за вертушек."
